pno1,pno2,rank1,rank2
7320545,4805931,7,5
6577589,7656777,4,2
6577589,7656777,10,8
6577589,7656777,9,9
7037342,5600959,8,8
4929719,6166202,4,4
4929719,6166202,11,9
4929719,6166202,7,13
5559711,7080445,13,8
7455322,7263801,11,9
4386284,4249876,3,3
8608821,8393366,12,8
7718086,7671324,7,4
8008250,5571131,4,11
4298658,4190468,11,8
8577413,7469141,4,11
4777541,6919917,2,2
4178571,8078980,10,9
4178571,8078980,7,12
8257218,7907962,11,5
7720353,4700360,7,9
6637169,6551096,11,4
4031840,8206176,7,7
8466389,6240953,3,10
6257323,4570818,8,4
6434355,4954007,8,3
8406641,7119935,5,4
6851841,4634260,2,2
6851841,4634260,3,3
7603643,7941176,9,10
7603643,7941176,7,12
6633298,7688787,10,3
6633298,7688787,13,5
3987359,6885748,7,2
7830171,5504388,4,5
8015449,8208530,13,10
5170786,8272757,3,4
5170786,8272757,12,9
8336655,6992641,9,8
8336655,6992641,11,10
7216934,4133281,10,7
7945793,4464725,9,10
4105965,8040300,4,5
4105965,8040300,8,6
7949815,8703088,9,11
7345456,8053244,11,11
4327201,7753989,7,5
7099010,6175674,8,8
6504818,6971023,7,2
7709845,5464673,2,4
7693479,6094191,7,9
7969703,3960233,7,11
4575474,5290533,9,6
4575474,5290533,12,7
5167343,8679853,13,8
6176936,8560331,10,13
8576085,8417881,7,8
4941649,4324378,12,11
8564394,6850407,10,8
7271604,5095744,1,5
5379171,6253279,1,1
5379171,6253279,8,5
7466943,6602167,2,13
4075712,5294966,11,1
7439523,7958059,3,8
7823790,4172577,7,8
4518788,7096105,10,12
5112545,4668555,3,6
4288479,8267287,7,10
8453118,8718319,12,12
7703651,5036867,4,7
7940109,6441765,11,11
4260283,7451823,11,2
8069283,3982229,3,8
6404548,8663888,10,3
6465780,8551306,6,1
7044515,5155622,1,7
6882975,7602026,9,11
6882975,7602026,11,12
5505740,6656876,3,7
7227745,4644298,12,10
7038505,7980861,11,6
7038505,7980861,12,10
7850328,7528744,4,3
6723997,6336794,8,6
6320576,8281271,3,10
4253383,7471425,12,13
4911040,8171506,11,6
6979294,5378498,5,13
8208825,4713650,11,8
7182725,8227757,5,2
7447834,8621059,1,1
7535169,8593442,13,3
7535169,8593442,7,5
4362199,4826630,9,12
4573415,6943751,8,3
4554015,6596747,11,5
4554015,6596747,12,6
4554015,6596747,13,7
5045799,5264645,3,2
4820536,4686040,7,8
4361696,7622652,9,10
4601276,4489883,10,6
8548310,7440583,7,13
8036073,5141094,10,8
6661697,7043622,5,2
5237281,8424036,13,10
6392929,4175429,3,7
7400870,4526965,13,6
4019160,4677648,5,5
5647208,5350247,9,5
7415697,6072498,10,2
7949168,7471317,10,10
4188593,5214404,6,11
5275807,8038448,10,9
4400979,4438765,5,9
7628182,7278706,12,10
7653209,6370151,2,7
7241266,8699252,10,4
7241266,8699252,8,8
6172931,7284592,9,6
6250582,7442106,6,4
6250582,7442106,12,8
5618420,4812261,2,6
7495502,6184462,7,6
4808285,7658493,11,3
7768557,7830559,9,13
4622894,4390126,9,12
7064383,5407312,5,6
6845865,4430836,4,4
7856813,7878287,7,13
7003941,7924355,8,13
8631563,6377125,8,11
4547607,4617357,12,9
8161930,4844591,10,10
8003689,5631515,4,3
7913350,7808836,11,10
5181568,5068117,9,9
6915252,6373527,6,7
7220116,4320585,12,11
8703395,4540004,7,5
4463020,8119125,8,10
4360307,7357432,4,10
7219341,6978311,7,8
7219341,6978311,11,12
7191816,8053339,11,10
5522427,5616330,2,6
5002218,5360115,2,9
7193474,7791441,11,13
7040219,4879934,8,1
5059283,4638053,7,8
6563801,5126695,9,4
7187082,6507600,9,3
4696113,5499521,4,6
4342130,8211116,6,3
4683460,8190773,4,11
8020450,8747314,3,7
4152215,4491392,7,2
4152215,4491392,11,7
4152215,4491392,5,8
4086924,7803258,9,11
8087050,8014509,11,2
4535505,8687163,4,8
7797430,7402056,5,9
7515344,7583251,3,8
6512680,7816122,10,5
