pno1,pno2,rank1,rank2
6305058,4038728,2,1
6305058,4038728,11,9
6861274,6576896,1,1
6571659,6286388,1,1
6571659,6286388,10,2
4520220,4086287,3,8
4520220,4086287,8,10
7933413,7039946,2,5
7933413,7039946,9,7
7933413,7039946,1,13
8388803,7789995,1,1
8388803,7789995,3,2
8388803,7789995,4,3
8388803,7789995,5,4
8388803,7789995,6,5
8388803,7789995,9,9
8388803,7789995,10,10
8388803,7789995,2,12
8388803,7789995,11,13
7305772,4763268,7,1
7305772,4763268,5,3
8632435,6955627,6,2
8632435,6955627,12,4
8632435,6955627,7,5
8632435,6955627,3,8
8632435,6955627,13,11
7489522,6198633,4,5
7489522,6198633,3,8
8668577,5375830,2,1
8668577,5375830,7,4
8131713,7185192,11,7
8131713,7185192,13,13
6228017,4386730,12,1
8667792,4149092,11,1
6483198,6314346,5,1
6483198,6314346,10,4
6483198,6314346,8,7
6483198,6314346,12,13
8258581,7115343,10,11
7710019,6522067,9,3
7710019,6522067,8,10
7710019,6522067,7,11
6513330,5592821,1,2
6513330,5592821,10,6
4372790,4035203,1,1
4372790,4035203,9,9
4372790,4035203,2,12
7728815,6291782,5,1
7728815,6291782,11,2
6128491,4905301,12,5
5576469,4879264,9,1
5576469,4879264,4,4
5576469,4879264,5,5
7733086,5200699,1,2
7733086,5200699,3,6
8324107,6620715,2,8
6856550,6064591,1,1
6856550,6064591,7,3
6856550,6064591,2,5
7942737,6910964,1,2
7942737,6910964,9,7
7942737,6910964,5,10
7942737,6910964,4,12
4702008,4072893,6,1
4702008,4072893,12,7
4194581,3952819,10,5
4194581,3952819,2,7
6641192,4344660,8,2
6671565,5410476,1,1
6671565,5410476,13,4
8263221,4298565,8,2
8239986,4409695,4,4
8394147,5520695,1,1
8394147,5520695,4,2
8684442,4066291,10,3
8684442,4066291,12,6
6492198,6197613,5,5
6492198,6197613,8,7
7252160,5138313,1,2
7252160,5138313,2,10
6534825,4767722,8,1
6534825,4767722,1,6
6534825,4767722,3,7
6534825,4767722,5,10
6094646,5422984,3,1
6094646,5422984,1,6
7488502,4443109,2,1
7488502,4443109,10,7
8111125,5047741,2,3
8111125,5047741,8,7
6864877,6184868,4,3
6864877,6184868,1,4
5405318,4692139,8,1
5405318,4692139,2,5
5405318,4692139,1,7
7671457,4996391,8,3
7653206,4905289,2,1
7653206,4905289,4,2
7653206,4905289,1,4
7653206,4905289,3,6
8492875,7989924,5,3
8492875,7989924,4,6
8492875,7989924,2,7
8492875,7989924,9,13
7135768,4750031,9,5
7135768,4750031,8,12
7637856,4019410,6,7
7637856,4019410,7,9
6940024,4815981,5,1
6940024,4815981,6,6
6940024,4815981,1,9
8648309,5156804,1,2
8212491,6229271,3,1
8212491,6229271,1,2
7819194,5626200,7,4
7819194,5626200,6,7
7819194,5626200,13,8
5301037,4827352,2,2
5301037,4827352,9,3
5301037,4827352,1,4
8040481,6459464,2,1
8040481,6459464,4,4
8040481,6459464,3,5
8040481,6459464,12,9
8040481,6459464,13,11
7133834,4975841,6,1
6062162,4433636,2,2
6062162,4433636,8,11
4444491,3944207,5,1
4444491,3944207,4,2
4444491,3944207,3,3
7175467,4252395,5,9
7175467,4252395,1,11
7761303,7519538,8,3
7761303,7519538,11,7
7761303,7519538,10,8
7761303,7519538,4,13
8171276,6550021,11,5
8043028,4708529,6,4
6466835,6122566,7,2
7054686,5267564,4,7
7865926,4763317,4,6
6546621,5502892,11,2
4905021,4703334,10,7
4905021,4703334,12,9
8382136,6131934,1,1
8382136,6131934,2,9
8382136,6131934,11,10
8382136,6131934,13,13
7440307,6288931,1,2
7440307,6288931,11,3
7440307,6288931,2,5
7440307,6288931,5,6
7440307,6288931,3,8
7440307,6288931,4,10
6926665,5140999,2,1
6926665,5140999,9,4
8308041,7258262,2,2
8013474,7158395,2,1
7250008,6277326,5,7
8635725,6076525,1,3
8635725,6076525,4,5
8635725,6076525,12,6
8635725,6076525,3,8
8635725,6076525,9,13
4621424,4347663,3,1
4621424,4347663,1,2
4621424,4347663,6,5
4621424,4347663,10,6
4621424,4347663,12,7
4621424,4347663,2,10
8122689,5109651,1,1
8122689,5109651,2,2
8122689,5109651,12,8
6122380,5638451,1,1
6122380,5638451,2,13
8201814,6119673,8,1
8201814,6119673,2,2
7923621,6518492,13,3
7923621,6518492,1,8
5600615,5048002,3,3
5600615,5048002,13,5
5600615,5048002,4,10
4402928,4177132,1,3
4402928,4177132,6,9
4402928,4177132,8,12
4956267,4128425,1,2
7296093,6438705,8,12
4952041,4749268,3,1
4952041,4749268,2,4
7617253,5638509,2,2
6845998,6170845,11,11
5011212,4683522,9,3
5011212,4683522,1,4
5011212,4683522,5,5
5011212,4683522,12,7
5011212,4683522,2,9
8286416,4711084,10,8
6508016,4200997,13,1
6508016,4200997,1,5
7250779,6900652,2,3
7250779,6900652,1,10
5136266,4224683,3,10
5136266,4224683,10,11
6390866,4838146,3,1
6390866,4838146,2,2
6390866,4838146,4,4
6390866,4838146,12,6
6390866,4838146,9,7
6310572,4912470,11,1
6310572,4912470,6,6
6310572,4912470,4,10
6310572,4912470,12,11
6310572,4912470,9,13
8634897,5305203,8,3
8634897,5305203,13,9
5105838,4637410,1,1
5105838,4637410,4,2
5105838,4637410,7,5
5105838,4637410,9,13
7069368,6389029,11,13
7661607,4193520,4,4
7661607,4193520,9,5
4912437,4618838,11,2
4912437,4618838,8,7
4912437,4618838,5,10
6939844,5501806,1,1
6939844,5501806,8,3
6939844,5501806,3,4
6939844,5501806,11,12
6939844,5501806,12,13
8679097,7303560,5,11
8276417,7343763,1,1
8276417,7343763,4,2
8276417,7343763,6,10
6218803,5657006,3,3
4837090,4407900,4,3
4837090,4407900,12,4
4837090,4407900,1,6
4837090,4407900,6,8
4837090,4407900,7,11
8040117,5132890,4,4
4924012,4814470,10,6
4924012,4814470,4,7
4924012,4814470,6,9
7865233,6454708,13,8
8229455,7333800,11,12
8435169,4686965,1,4
7933611,6343213,11,4
7933611,6343213,9,6
5619619,4802103,1,8
6577299,5301222,12,6
8352567,7467187,13,6
6567077,4825212,1,1
6567077,4825212,5,2
6567077,4825212,3,3
6567077,4825212,12,4
7437604,6839788,3,2
7437604,6839788,10,6
7493809,5238366,2,1
7493809,5238366,5,9
7653309,7389048,2,1
7653309,7389048,10,4
7999283,6330111,3,1
7999283,6330111,10,4
7999283,6330111,7,6
7708752,6098629,6,1
7708752,6098629,2,5
7708752,6098629,3,6
7708752,6098629,11,10
7955682,6537720,11,11
8499512,5412919,1,1
8499512,5412919,5,11
6951639,5312617,7,3
8602187,6244965,13,1
8602187,6244965,1,4
8602187,6244965,2,5
8602187,6244965,6,9
6394041,4779573,1,4
8641914,7632544,6,2
8641914,7632544,8,6
8641914,7632544,2,7
8752940,6013982,7,7
8752940,6013982,4,8
4390234,4057317,10,3
4390234,4057317,4,9
8301921,5500561,1,1
8301921,5500561,2,3
8087738,6133528,1,1
8087738,6133528,2,5
8087738,6133528,4,8
8087738,6133528,9,13
8128622,6238388,1,2
4534882,3989673,3,1
4534882,3989673,12,5
4534882,3989673,1,8
7579467,5521184,2,3
7579467,5521184,3,8
8009081,4347513,2,1
7616084,4428704,13,3
7889865,4684980,8,10
8357802,7129248,12,6
8666469,7163511,2,2
7285874,6149319,1,3
7285874,6149319,9,5
6216123,5412807,1,1
6216123,5412807,2,4
6216123,5412807,4,5
6216123,5412807,3,7
6328038,5308339,11,6
6328038,5308339,9,9
7888629,7636188,4,1
6863308,5244248,3,8
7292096,6215987,1,1
7292096,6215987,11,4
6637967,5525647,2,4
6637967,5525647,4,9
6452485,4614355,11,1
6452485,4614355,7,6
6452485,4614355,1,11
8266397,6557039,6,2
8266397,6557039,13,11
8726414,4418524,6,4
7068180,4621329,13,1
7068180,4621329,8,6
6338147,5269017,1,2
8501196,4985242,11,6
7931660,7097089,3,7
7931660,7097089,2,9
7931660,7097089,8,11
7820922,7238894,4,6
5162699,4792687,1,1
7410023,4913270,1,1
7410023,4913270,6,4
7410023,4913270,2,6
6365680,5180765,6,2
6365680,5180765,1,8
5589775,4845434,7,1
5589775,4845434,2,5
8508325,7994894,1,1
8508325,7994894,6,11
7670356,5067489,11,11
8105062,6655941,9,3
8105062,6655941,4,4
8105062,6655941,2,7
7048878,5135660,3,1
7398909,3952936,10,1
8712884,5393963,3,4
7286658,5566226,4,3
7286658,5566226,3,10
7073245,6230387,10,3
7073245,6230387,12,6
7073245,6230387,1,7
7073245,6230387,8,10
7598754,6262871,2,9
7598754,6262871,9,10
6389117,4920562,3,2
7302059,5590202,1,5
6379922,4430348,2,3
6379922,4430348,4,4
6094453,5327248,8,3
6094453,5327248,10,5
8563133,7501315,1,1
8563133,7501315,4,10
7275556,5598872,9,7
7728626,6456531,3,3
7728626,6456531,8,8
7728626,6456531,4,10
8060925,5237609,3,1
7695649,6555269,11,1
7695649,6555269,1,2
7695649,6555269,5,7
7695649,6555269,13,8
7695649,6555269,7,9
7284270,5231570,1,3
7284270,5231570,12,12
7806760,6582307,3,2
7806760,6582307,5,3
7806760,6582307,1,4
7806760,6582307,13,6
7806760,6582307,11,10
7318602,5366242,3,1
7318602,5366242,1,5
6915218,6201384,1,1
6915218,6201384,4,5
6915218,6201384,3,8
6923810,5102414,2,2
6923810,5102414,7,8
5297897,4079617,12,2
7798847,6462637,4,1
7798847,6462637,5,5
6540693,5335671,2,6
7650436,6378005,3,1
7650436,6378005,9,12
7065953,5622044,13,1
7065953,5622044,2,10
7926876,6170911,13,13
7398714,5617765,1,1
7398714,5617765,9,2
7398714,5617765,3,4
4569156,4077162,3,1
4569156,4077162,1,4
8068567,7333548,1,2
8068567,7333548,2,3
8068567,7333548,6,4
8068567,7333548,10,6
8068567,7333548,3,8
8011957,6364710,6,5
8011957,6364710,13,6
8011957,6364710,10,8
5269752,4639252,2,1
5269752,4639252,4,2
7905773,6089978,2,2
8381729,6360745,1,1
8381729,6360745,12,2
7480918,6529921,4,3
8071659,4160080,3,1
8071659,4160080,6,6
8071659,4160080,4,11
7063702,5470334,1,3
7063702,5470334,3,7
7724868,5600700,5,1
6461273,6123643,4,2
6461273,6123643,8,5
6461273,6123643,3,10
7700743,6498236,8,8
6931529,6304973,2,1
6931529,6304973,5,3
6931529,6304973,4,8
7124004,4401848,1,10
8044508,5597660,1,2
8356817,5275416,1,1
8356817,5275416,2,3
8356817,5275416,4,4
8356817,5275416,11,12
7197465,6078936,9,9
8001561,6088722,2,4
7967853,6635085,7,3
7967853,6635085,2,6
8130835,6438170,5,1
8130835,6438170,3,2
8130835,6438170,6,3
8130835,6438170,2,4
6539650,5145313,4,9
7269069,6504757,12,4
7269069,6504757,2,6
7269069,6504757,1,13
6319234,5267976,2,4
6319234,5267976,1,6
6472650,5283410,4,1
6472650,5283410,2,13
8077117,7068252,3,3
8077117,7068252,2,4
7958104,7076255,4,5
7958104,7076255,6,10
6569615,6153582,9,6
7069658,4777722,1,1
7069658,4777722,5,2
7069658,4777722,3,6
7069658,4777722,2,8
7069658,4777722,7,10
8234517,6295610,2,4
8234517,6295610,13,5
7161749,5126881,1,1
7161749,5126881,2,2
7161749,5126881,9,9
7161749,5126881,11,10
8048999,6521453,3,11
8048999,6521453,1,12
4492061,4053289,1,1
4492061,4053289,5,5
4492061,4053289,3,6
4492061,4053289,13,12
5341571,4403412,12,1
5341571,4403412,2,2
5341571,4403412,1,3
5341571,4403412,9,9
4773640,4029312,5,2
4773640,4029312,3,3
4773640,4029312,2,13
7004692,5163790,9,3
7004692,5163790,4,12
7752262,7284067,1,1
7752262,7284067,10,3
7752262,7284067,5,5
7752262,7284067,13,10
6842528,4396807,1,1
6842528,4396807,11,11
5291293,4524390,1,1
5291293,4524390,6,2
5279588,5108376,2,12
5191275,4315364,1,1
5191275,4315364,3,3
5258934,4063200,5,1
5085504,4796206,2,5
6837150,5451744,3,1
6837150,5451744,1,2
6303303,4811218,11,2
7662165,6099549,2,3
7662165,6099549,9,8
7662165,6099549,10,12
7268022,6479866,5,1
7268022,6479866,12,5
7268022,6479866,1,7
5528120,4917411,2,2
5528120,4917411,4,4
5528120,4917411,8,8
5528120,4917411,7,13
7268000,6492273,1,1
7268000,6492273,10,10
5638469,5247597,1,2
5638469,5247597,3,6
5638469,5247597,2,8
5206546,4698525,2,2
5206546,4698525,11,5
5206546,4698525,12,6
5206546,4698525,7,13
6530823,5417768,1,8
8182671,5082786,1,8
8216953,5482772,5,3
8216953,5482772,9,13
7749112,5651549,1,1
7749112,5651549,2,2
7749112,5651549,9,3
4969160,4375694,13,3
6301722,4624893,8,3
4462353,4169449,5,1
4462353,4169449,11,2
4462353,4169449,6,3
4462353,4169449,2,4
4462353,4169449,1,6
4462353,4169449,7,13
7750509,4705920,11,4
7750509,4705920,3,9
7914260,6382917,5,1
7914260,6382917,1,2
7914260,6382917,2,3
7914260,6382917,13,4
7914260,6382917,6,6
7914260,6382917,4,12
8665625,8526237,3,2
8665625,8526237,11,3
8665625,8526237,7,10
8665625,8526237,2,11
7918981,6071394,2,1
7918981,6071394,3,6
7918981,6071394,4,10
4319955,4116699,9,5
