parent_pno,child_pno,parent_term_rank,child_term_rank,slope CTR-CTR
7005637,8704277,3,1,2
7005637,8704277,8,3,5
7005637,8704277,9,5,4
6310483,7068057,1,2,-1
6462306,8415585,2,9,-7
6462306,8415585,7,6,1
6462306,8415585,8,4,4
6462306,8415585,9,5,4
6462306,8415585,10,1,9
6244297,8469053,2,5,-3
6244297,8469053,3,3,0
6244297,8469053,6,13,-7
4393127,7242012,2,10,-8
4393127,7242012,9,4,5
5034947,8209167,10,13,-3
5034947,8209167,13,1,12
5524114,7805651,10,6,4
5456668,7125396,1,1,0
5456668,7125396,5,2,3
5456668,7125396,7,3,4
5456668,7125396,9,10,-1
6087715,8501543,9,7,2
6297534,8034682,3,4,-1
6297534,8034682,4,8,-4
6297534,8034682,11,9,2
5365450,6924750,5,3,2
6274904,7655981,1,1,0
6274904,7655981,3,9,-6
6274904,7655981,9,6,3
6274904,7655981,10,7,3
6511454,8545198,3,1,2
6511454,8545198,5,2,3
6917522,7672129,11,5,6
5303077,5495356,2,4,-2
5303077,5495356,5,2,3
5303077,5495356,6,12,-6
5303077,5495356,9,6,3
5303077,5495356,10,8,2
3969640,4719384,7,1,6
6385454,8660526,1,5,-4
5523520,7622652,4,4,0
5523520,7622652,7,3,4
5523520,7622652,13,5,8
4758579,5312824,6,9,-3
4254169,4839235,1,6,-5
4254169,4839235,6,13,-7
4254169,4839235,7,7,0
4254169,4839235,8,8,0
4567029,4929576,2,12,-10
4567029,4929576,4,9,-5
6065873,7040810,2,4,-2
6065873,7040810,9,12,-3
5039204,7282843,1,3,-2
5039204,7282843,2,6,-4
5039204,7282843,5,5,0
6896049,7789151,8,9,-1
4572926,4707568,1,6,-5
4572926,4707568,3,7,-4
4572926,4707568,7,2,5
4572926,4707568,9,11,-2
7209478,7646767,13,5,8
4493253,5201591,2,1,1
4891934,7426834,1,1,0
4891934,7426834,2,3,-1
4891934,7426834,3,5,-2
4891934,7426834,6,10,-4
4891934,7426834,8,2,6
4891934,7426834,11,13,-2
7680295,8094881,2,5,-3
7680295,8094881,3,9,-6
7680295,8094881,7,11,-4
5257570,7698976,2,3,-1
5257570,7698976,9,11,-2
5257570,7698976,13,6,7
6473070,7148878,10,10,0
5047750,8149112,10,9,1
4520030,5466709,4,1,3
5247528,7545837,1,4,-3
6402375,7967509,1,12,-11
6402375,7967509,3,2,1
6402375,7967509,5,13,-8
5310440,6238428,4,4,0
5161527,8326416,9,7,2
6073206,7526578,4,1,3
6073206,7526578,12,8,4
6609656,7012528,6,10,-4
4156430,5209228,2,1,1
4156430,5209228,5,5,0
5112226,5587284,1,2,-1
5112226,5587284,2,1,1
5112226,5587284,10,8,2
5378883,6223988,1,1,0
5378883,6223988,2,3,-1
5378883,6223988,3,5,-2
5378883,6223988,6,8,-2
5378883,6223988,9,9,0
5378883,6223988,11,10,1
4536949,5229645,4,8,-4
4536949,5229645,8,3,5
4536949,5229645,10,11,-1
4537918,7143828,1,1,0
4537918,7143828,4,10,-6
4158623,7510083,2,2,0
4158623,7510083,3,9,-6
4158623,7510083,10,8,2
6485476,8672908,1,4,-3
5371092,6300343,1,2,-1
5371092,6300343,6,13,-7
5371092,6300343,9,9,0
5523520,8071863,4,3,1
5523520,8071863,12,11,1
5523520,8071863,13,13,0
6961642,8498527,11,13,-2
6363489,7062782,3,8,-5
6363489,7062782,13,3,10
5159493,7009779,1,10,-9
5159493,7009779,2,1,1
5159493,7009779,4,4,0
5159493,7009779,13,13,0
4960055,6640723,1,2,-1
5615929,7270145,6,4,2
5615929,7270145,12,1,11
5356225,6142672,1,5,-4
5356225,6142672,6,8,-2
4889315,5358213,1,4,-3
7349566,8464933,1,3,-2
4941718,6655646,1,10,-9
4941718,6655646,11,9,2
6478734,7288065,1,1,0
6478734,7288065,2,2,0
6478734,7288065,3,3,0
6478734,7288065,4,4,0
6478734,7288065,5,5,0
6478734,7288065,6,6,0
6478734,7288065,7,7,0
6478734,7288065,8,8,0
6478734,7288065,9,9,0
6478734,7288065,10,10,0
6478734,7288065,11,11,0
6478734,7288065,12,12,0
6478734,7288065,13,13,0
4959087,5258051,1,1,0
4959087,5258051,4,5,-1
4959087,5258051,6,4,2
3979701,7100025,3,5,-2
4341532,6866691,3,1,2
6202887,7717281,1,10,-9
6202887,7717281,4,3,1
4582324,7107109,12,8,4
4695392,5625055,2,5,-3
6512840,7121470,12,3,9
6147200,7507810,5,9,-4
5064196,5330183,2,1,1
5064196,5330183,3,10,-7
5064196,5330183,11,13,-2
6965941,7975066,6,4,2
4549848,7195450,3,8,-5
4549848,7195450,11,3,8
7685200,8280892,7,12,-5
7685200,8280892,8,2,6
7685200,8280892,11,1,10
6083255,8257413,11,7,4
4672509,6516954,1,1,0
4672509,6516954,5,10,-5
4672509,6516954,6,4,2
4825400,4999802,2,1,1
4825400,4999802,4,3,1
4825400,4999802,7,9,-2
7055095,7983473,4,9,-5
4335029,4933237,1,3,-2
4335029,4933237,8,4,4
4386116,5010389,6,1,5
4386116,5010389,9,7,2
4386116,5010389,10,2,8
4124678,7004917,8,5,3
4138961,7311053,2,4,-2
4138961,7311053,3,1,2
4138961,7311053,8,13,-5
4138961,7311053,10,7,3
5136474,5549989,2,7,-5
5136474,5549989,4,3,1
5136474,5549989,5,1,4
5136474,5549989,9,4,5
5136474,5549989,10,9,1
4246145,6228281,3,6,-3
4246145,6228281,6,5,1
4246145,6228281,10,11,-1
4246145,6228281,11,4,7
6128736,6856693,5,1,4
6504267,8189355,11,2,9
6504267,8189355,13,8,5
6934251,8189468,9,4,5
6478886,8609755,3,2,1
6478886,8609755,7,7,0
4981153,7597115,2,2,0
4981153,7597115,3,9,-6
6132970,6319714,2,7,-5
4915597,5490765,1,4,-3
4915597,5490765,7,7,0
4303765,4892736,13,5,8
4624768,4773984,2,5,-3
4624768,4773984,5,13,-8
6493637,8204840,2,8,-6
5033112,7130719,13,5,8
6380802,8502600,5,4,1
6852613,7327016,1,1,0
6852613,7327016,2,2,0
6852613,7327016,3,3,0
6852613,7327016,4,4,0
6852613,7327016,5,5,0
6852613,7327016,6,7,-1
6852613,7327016,7,6,1
6852613,7327016,10,9,1
6852613,7327016,13,10,3
6201793,8553684,3,8,-5
6320461,6958647,1,3,-2
6320461,6958647,3,1,2
6320461,6958647,8,4,4
6320461,6958647,10,5,5
6266262,6539455,4,2,2
6266262,6539455,9,7,2
6266262,6539455,11,8,3
5276573,6069771,1,13,-12
5276573,6069771,10,4,6
6089861,7776940,1,9,-8
6089861,7776940,2,7,-5
4397193,7114404,4,2,2
5171311,7074219,9,2,7
5328048,8752727,1,12,-11
5328048,8752727,6,7,-1
5328048,8752727,9,2,7
4784990,6946551,2,1,1
6241244,7854379,1,1,0
6241244,7854379,3,4,-1
6241244,7854379,9,6,3
4706670,8002741,1,1,0
4706670,8002741,3,12,-9
3952115,4156786,1,5,-4
3952115,4156786,5,3,2
3952115,4156786,9,4,5
3952115,4156786,10,1,9
5168905,5477898,1,2,-1
6245224,8377314,1,2,-1
6245224,8377314,2,4,-2
6245224,8377314,6,5,1
4876033,6988305,4,11,-7
6270936,8415078,1,2,-1
6270936,8415078,2,1,1
6270936,8415078,12,13,-1
4010760,5314451,1,3,-2
4010760,5314451,2,6,-4
7619868,8446710,3,4,-1
7619868,8446710,4,3,1
7552235,8060616,3,9,-6
5482116,8141661,5,8,-3
7457111,7701717,1,10,-9
7457111,7701717,2,1,1
7457111,7701717,10,7,3
5626590,7875056,1,3,-2
5394110,6341360,4,9,-5
5394110,6341360,6,4,2
5394110,6341360,9,6,3
5374656,5475106,2,6,-4
5374656,5475106,3,2,1
5374656,5475106,5,4,1
5374656,5475106,7,8,-1
5374656,5475106,8,9,-1
5374656,5475106,9,10,-1
5374656,5475106,10,12,-2
5374656,5475106,11,13,-2
7845536,8257391,9,10,-1
4711246,6506313,1,1,0
4711246,6506313,2,10,-8
4711246,6506313,3,2,1
4711246,6506313,6,8,-2
5651614,7875458,4,10,-6
6383907,8114573,1,13,-12
6383907,8114573,12,5,7
7106505,8197072,2,5,-3
7106505,8197072,3,1,2
4425369,5273763,11,12,-1
4425369,5273763,13,13,0
6494653,7143497,2,3,-1
6494653,7143497,6,11,-5
4099920,6518068,2,2,0
4099920,6518068,9,1,8
4099920,6518068,12,9,3
4562389,5361852,1,1,0
4562389,5361852,2,5,-3
6457645,6991166,1,3,-2
6457645,6991166,3,2,1
6457645,6991166,7,8,-1
6598963,7118204,1,2,-1
6598963,7118204,2,7,-5
6598963,7118204,3,10,-7
4270429,7013784,1,1,0
4270429,7013784,2,4,-2
4270429,7013784,3,13,-10
4270429,7013784,9,9,0
4270429,7013784,12,5,7
4493112,8744384,10,1,9
6065513,7954524,3,1,2
6065513,7954524,8,13,-5
6152905,7931634,6,2,4
6152905,7931634,11,10,1
4717341,7118373,1,4,-3
4717341,7118373,3,5,-2
4717341,7118373,5,6,-1
4750181,7844020,4,2,2
5295090,7323902,3,8,-5
