pno1,pno2,rank1,rank2
5332494,5268092,4,3
5332494,5268092,5,4
5332494,5268092,6,6
5332494,5268092,7,7
5332494,5268092,8,8
5332494,5268092,9,10
5332494,5268092,10,11
5332494,5268092,11,12
5332494,5268092,12,13
7665405,4640111,2,2
8005831,6253201,11,8
8231069,5577481,1,1
8558677,7492274,1,2
8558677,7492274,12,7
7178493,6575128,7,1
7178493,6575128,12,13
5301092,5016146,3,9
8700354,7457439,2,1
7065811,4080530,1,1
6263526,6067678,9,2
8477333,6297886,2,5
8185110,7529206,2,5
8185110,7529206,13,7
8185110,7529206,4,9
8185110,7529206,5,10
6289445,5237700,1,1
6289445,5237700,2,3
6289445,5237700,3,11
6289445,5237700,12,13
7692394,5598071,3,2
7692394,5598071,1,4
8636220,6441736,4,4
8636220,6441736,12,6
5404937,4571947,1,1
5404937,4571947,8,2
5404937,4571947,13,5
5404937,4571947,3,9
5404937,4571947,6,11
5404937,4571947,4,13
4950286,4539357,2,6
7051871,5547078,4,2
7545036,6555921,2,5
7545036,6555921,7,10
6119261,5233482,9,1
6119261,5233482,11,8
6119261,5233482,4,10
7958758,7000441,3,2
7958758,7000441,2,6
7958758,7000441,1,7
7579407,5502124,3,4
7579407,5502124,7,7
6458003,4565528,1,2
6458003,4565528,11,6
4118562,3946000,5,12
8555763,5421249,1,2
8555763,5421249,12,8
6839118,6198520,2,1
6839118,6198520,5,2
6839118,6198520,10,5
6839118,6198520,1,6
6839118,6198520,3,12
8558921,5633678,4,2
8558921,5633678,2,4
6249875,5146477,5,6
7877200,6282474,2,3
7877200,6282474,1,4
7877200,6282474,9,6
7877200,6282474,3,8
7877200,6282474,5,10
7877200,6282474,6,12
7422219,4997325,4,3
7422219,4997325,2,8
7422219,4997325,1,11
6093391,5080894,3,7
6093391,5080894,2,9
6894952,4270198,6,1
6894952,4270198,1,8
6894952,4270198,4,12
8094944,5329310,3,4
8094944,5329310,9,10
6631662,6265963,10,11
8218288,7835136,5,6
7658640,6210174,3,5
7134700,4940270,2,1
7134700,4940270,1,13
5269652,4715782,12,2
4320530,4218657,5,3
4320530,4218657,3,4
4320530,4218657,11,9
7000427,6352577,4,5
7000427,6352577,1,6
6458105,6193695,2,1
6458105,6193695,1,3
6458105,6193695,4,4
6458105,6193695,5,5
6458105,6193695,9,8
6458105,6193695,7,10
6458105,6193695,12,13
5038983,4915276,10,1
5038983,4915276,5,6
5038983,4915276,2,7
6263245,4791936,5,10
6263245,4791936,2,12
8672284,6474246,11,1
8672284,6474246,1,5
8613320,6059036,1,2
8613320,6059036,4,3
6334793,4990099,8,4
7477845,7301970,2,1
7477845,7301970,6,6
7477845,7301970,11,12
7458605,6536800,10,1
7458605,6536800,1,2
6991189,4156593,7,5
8314390,5126718,9,2
8314390,5126718,7,3
8314390,5126718,12,7
8737483,8077779,1,2
8737483,8077779,2,3
8737483,8077779,5,12
8737483,8077779,10,13
7889489,6273252,2,11
7432546,6153470,12,2
7432546,6153470,9,3
7432546,6153470,5,4
7432546,6153470,1,5
8265547,7760678,11,8
7416556,5376101,1,1
7416556,5376101,11,12
7151177,3993651,1,1
7151177,3993651,2,6
7748959,4102603,2,6
7748959,4102603,1,7
