pno1,pno2,rank1,rank2
8052642,6622573,7,6
7989246,4255130,5,9
5324428,4766684,6,6
5255321,6488109,12,13
5104627,3945283,11,4
6219321,6454808,13,10
7916575,8707295,12,9
7558409,6327580,4,5
8750758,6547575,12,8
6074494,8287310,11,9
6909412,8648343,12,6
6909412,8648343,13,7
6909412,8648343,9,12
6649262,8517861,13,9
6083847,8324957,1,5
6326640,7279093,2,7
7667352,7219973,10,12
3973179,6663620,7,6
8595901,7240845,11,8
7469308,4112456,10,12
8619997,8422475,8,6
8619997,8422475,7,10
5158985,6170543,12,2
8197874,7031160,3,2
6845300,6367084,9,10
7928366,5076414,6,12
6249127,4965786,4,9
4500762,5188231,2,5
7773234,7110191,10,10
7317696,8612798,7,4
6622761,7589648,5,4
6216368,8029192,12,10
6216368,8029192,7,12
7936332,7249387,7,6
8139351,6262597,1,7
5344170,7318701,6,11
7224996,7011535,11,11
7465001,6607438,13,11
6945962,6916016,7,3
7201795,7281631,1,4
5651491,8105323,11,4
7703908,7668827,7,6
6962346,4202595,12,3
7325361,7661329,10,1
8662771,5370781,12,1
8662771,5370781,5,11
8451532,7636861,3,6
6226039,7283505,10,10
6558981,6173062,3,5
8439899,7139157,10,3
4705016,4683027,11,10
8205415,4899870,4,8
6398074,5582155,10,8
7479233,4601286,5,6
7832010,5313795,10,7
6600268,6504687,12,9
7817660,5258723,13,12
7991481,4318247,12,8
6126334,6147820,1,7
4980601,7140314,3,8
7835210,7062178,4,4
7576499,8576048,8,11
5359712,8553465,11,12
4178827,4058819,5,2
6386041,5316115,10,11
5034879,5250860,7,1
3962488,6121770,9,10
5020435,8396238,11,8
6524774,8086046,8,6
4287286,5062200,13,5
7957483,8755981,8,9
8156357,8451049,1,2
8156357,8451049,10,3
8156357,8451049,4,5
8077856,5009570,9,9
4570393,7945981,1,1
4194507,4560012,6,5
7302909,7485182,9,9
6948012,7826815,13,1
7209526,4221004,1,4
7209526,4221004,7,7
7844509,4294115,13,5
5048860,4709668,6,5
4314560,8079924,1,6
4314560,8079924,4,10
6486292,7198703,13,9
4125764,4358751,5,13
7983178,4947226,12,2
8694746,6256059,8,5
4011397,7492716,7,6
7194330,7164144,5,2
4631235,5236810,7,1
7649665,4922320,6,5
7933435,7746977,2,13
4944143,8134538,8,4
6118799,7050765,7,5
7845167,7694775,10,6
7845167,7694775,8,7
7845167,7694775,2,10
4242411,8470158,11,4
6848766,8721954,5,7
