pno1,pno2,rank1,rank2
6127920,4213440,6,9
6456411,7816258,9,6
4870287,7798032,9,8
7026098,7061731,5,5
7026098,7061731,8,11
7250538,6637396,11,10
4203745,7942639,12,8
5493270,8433704,7,11
4749273,7953514,11,3
7379639,6200415,13,13
8505582,4806981,12,13
5433725,8503291,7,13
4351859,7726298,12,11
8025153,4524711,13,9
4554935,7425021,7,12
4205485,8634743,6,8
6604189,7329862,9,13
7987719,6421236,7,9
7368757,6268394,7,13
4946163,5542597,6,12
8115395,8274319,5,5
7791639,7681232,2,7
8356933,4960398,5,11
6092983,6339899,3,11
7966683,7315573,7,4
5241931,6523573,6,1
5241931,6523573,12,7
7190083,4375223,8,10
7031266,7145890,4,9
4038954,7524340,8,5
4038954,7524340,3,10
7411992,7307752,7,4
7411992,7307752,2,7
5592385,5652707,4,5
5592385,5652707,3,9
6837534,7487544,6,6
7266825,6434253,11,2
7918999,8212798,9,2
5126653,5449157,3,9
4964327,7111377,7,1
4488228,6202209,7,8
4488228,6202209,9,11
8265875,7633854,13,13
5085452,8574091,1,11
6088877,6620026,5,7
4407872,7797825,4,12
6314403,7675551,7,4
5572573,5296922,1,8
4695709,5343878,10,13
5419496,4147379,5,2
5419496,4147379,10,8
5581575,4797632,4,7
4091428,4363077,12,1
5253895,7905157,7,12
6255511,7821925,9,13
7982136,7352875,12,8
5557313,7388723,5,1
6669686,4424428,11,5
6299092,6252350,13,7
5371715,4545036,10,4
5371715,4545036,5,12
5222694,7040206,8,11
7994792,8592239,5,2
6311855,7163706,11,9
6311855,7163706,4,10
7932031,8740645,4,9
3994492,5218906,11,12
6242376,6090700,8,4
7133482,5345909,8,3
7133482,5345909,10,7
6345897,7822064,11,12
6070827,4444312,7,2
6218731,5329142,10,6
8477581,7295035,2,11
8106690,7386811,8,8
7077365,6599317,5,9
5602214,5235812,11,12
6277133,4871149,2,8
7525129,5080469,2,3
4357704,8290013,1,5
8470224,6963076,3,7
5485966,4220940,10,10
5302018,7455358,5,11
4569720,8448915,6,6
7453132,6120588,12,6
4143410,4241440,5,10
8648618,8505235,9,9
8540238,6088427,11,12
8488389,6347541,8,4
6549808,6314679,6,5
6203731,5264404,4,9
8266359,6442630,12,13
7646454,6565600,6,11
5408618,6274618,4,7
4294515,6092478,7,7
6535139,6846089,2,4
4252252,4251442,9,10
8588560,7969266,6,8
8588560,7969266,7,10
7627114,4900332,9,11
7041868,4914059,6,2
5011248,7424927,7,1
8753723,7138754,5,13
7449709,6242736,12,9
6577954,8563457,11,9
6414779,7630908,3,12
4005468,6150242,4,2
4229950,8125728,3,11
5353339,7003418,11,13
7600209,7210146,9,12
7221081,6651035,6,9
5302924,5333012,2,4
7248655,5383500,7,3
7248655,5383500,1,5
8000866,8694382,12,4
7858690,4318205,4,9
7319724,6466267,10,2
7319724,6466267,1,10
7777842,5329386,1,5
7777842,5329386,3,10
7777842,5329386,6,12
4134323,3997816,12,13
4791015,6473275,2,3
5281551,8289242,11,1
5485853,4623060,9,10
5485853,4623060,7,12
5067782,4859832,4,7
5067782,4859832,8,12
5516953,6636664,2,8
6348071,7663884,11,13
4923274,4032432,10,9
4061906,4464149,3,6
7014758,4635620,3,2
5577487,6846533,7,3
6571568,5449488,3,7
3964419,4417856,9,11
3931487,7624809,11,12
8342706,4852257,5,10
8437472,7627386,9,5
4039106,4907780,11,7
5027093,4636990,6,1
5433817,5186130,8,4
8023356,6249240,1,5
8023356,6249240,10,9
4619270,7705500,4,5
4619270,7705500,10,8
4311013,7211298,1,1
7074728,8118809,11,8
5646714,8118067,5,11
5633626,4922374,5,10
6571033,6219537,1,10
7583096,8343347,13,12
4757159,5356708,3,10
7259770,8135536,12,5
6277170,4828731,7,8
7489877,4754748,12,4
7104417,5052157,9,11
8052153,6636618,6,12
5054252,4595790,10,12
6571596,4866822,13,9
6131053,4372013,9,9
6152544,8033293,9,1
7715034,7061693,8,3
5383731,6862415,1,1
8210823,8718496,11,6
8210823,8718496,10,9
4080052,8743280,8,5
5400648,6601078,6,10
8468419,8125573,2,7
6498823,7688154,2,10
7504483,3992355,10,4
7407899,6922793,4,2
7816969,7238576,11,5
7047597,7837555,10,7
7327010,6451374,11,5
5200078,7700703,6,5
6502968,8102217,7,8
6917880,8682960,11,11
6917880,8682960,12,13
6560052,8553094,9,11
5319331,4991096,8,1
7031811,7000007,13,5
5547273,7677808,13,2
5057383,7090032,8,9
7963697,5559957,12,6
7987896,5592920,5,9
4088629,8472116,12,1
8724814,6170320,13,8
5047316,7279193,11,6
4856674,4103863,13,7
4703737,8360790,12,5
4034598,5332947,13,10
4874295,6270098,8,1
4874295,6270098,9,6
8214545,7362477,6,10
8651765,7923191,2,12
8132651,7492429,1,12
8750294,7076071,2,3
7775359,4069619,7,6
6134174,7928752,12,6
5055333,7753898,6,7
5304903,6428118,9,3
6270664,4807082,8,13
4829227,8446748,11,2
4829227,8446748,4,9
8737830,3964817,6,3
6979135,8457763,12,1
8036589,8159427,2,11
7141801,4108360,13,9
5402723,7819039,6,4
7970934,5592454,9,3
6300991,8642883,9,3
7316423,6125809,2,11
7316423,6125809,12,13
6495427,7399919,11,13
6134006,8086025,4,2
8056704,6318354,4,13
8316087,7076796,12,11
7111545,7392628,6,13
8483038,4301518,2,7
4103875,3974939,7,7
4696788,8050807,10,9
6869571,6884977,12,7
6869571,6884977,8,8
6869571,6884977,11,11
8242832,5440773,10,2
8242832,5440773,13,5
8242832,5440773,8,6
5564175,4391347,7,11
5564175,4391347,9,13
8061781,4444382,11,11
8061781,4444382,7,13
7249246,4758527,11,5
8476628,7183151,5,1
8476628,7183151,2,2
8476628,7183151,9,7
7592301,4789317,13,12
8571400,6376955,10,9
5176405,8567306,8,9
7343347,5351414,13,13
6300187,6180117,5,4
7495507,7355307,13,12
7397196,4354738,2,8
8289038,7414210,13,9
8329279,7693029,7,3
4223571,4381567,6,8
6282324,8463156,7,6
5101754,3941511,2,13
8604687,6925235,4,10
6563925,8730171,9,11
4070604,7427804,8,8
7376003,6916084,12,4
5131935,7786799,8,7
8575260,6200379,6,6
7347926,6557054,4,7
6665035,8664856,1,2
7652331,7411861,12,2
4775676,7645781,7,7
4775676,7645781,8,8
4775676,7645781,10,10
4608164,5652970,1,8
7871050,7875793,12,9
4282666,6582986,9,4
8015824,6654790,3,12
8083094,4182270,2,4
8663512,6839093,7,4
7528010,6276645,4,9
7215677,8738338,5,6
7303145,5149411,4,1
3961364,4543512,12,1
4130819,8195306,12,3
5294164,7793365,9,10
4899917,7243934,12,9
4002697,5200069,13,7
7967994,5115932,5,5
5096751,6967751,12,7
6616968,6438084,7,3
6260762,8562264,9,11
6785466,8700311,5,2
6879343,7664406,7,6
6268938,3993865,1,1
4403125,5211224,6,10
8360644,6386536,3,3
7209084,7943513,9,5
5585161,7729618,4,9
8278862,8236977,12,10
6012103,6903583,12,11
6889626,7291785,12,8
8539757,6627828,1,7
4548052,5077094,3,8
8588520,5303043,7,4
7352946,6983960,12,5
7352946,6983960,13,7
4595673,6312980,12,2
7046615,6842058,6,3
7046615,6842058,12,11
7046615,6842058,7,12
5557590,8397165,3,5
4758467,7853091,12,11
5572288,8576842,11,4
7174630,5307472,12,4
4276789,7631581,6,8
6360680,4084371,9,1
3980844,4637137,5,2
6484335,6473972,5,11
6484335,6473972,9,12
8149495,8424011,10,2
7306367,8209913,5,9
6644898,8071118,1,4
6899710,7910124,5,3
8137048,4643422,4,8
6129598,7396985,9,10
7636598,7423765,8,3
6984442,6261748,11,13
8330488,6338483,13,12
6616234,7730674,2,3
7746805,8023087,8,6
6067127,7227672,3,2
7963910,6286044,11,7
8172512,6581186,7,1
6153950,5358202,11,12
3986085,7124390,7,4
3986085,7124390,2,7
3986085,7124390,10,8
5065350,8038852,13,2
5371828,8028927,12,7
7896749,4120357,3,13
8187802,5369121,12,8
4886788,4640923,8,9
7304295,8736267,5,4
7304295,8736267,7,13
8096011,4050499,7,12
8424170,8611155,10,12
6860506,7264212,5,10
4928012,4216617,9,10
8282314,8458861,7,1
5097629,4778175,12,9
3993488,7535341,1,3
8523327,6927975,9,5
6335861,6312152,4,3
6335861,6312152,1,5
5052299,5481853,3,12
4916706,4300021,6,5
4916706,4300021,12,13
4852773,6852179,11,10
8561186,8103965,4,11
8726185,6122795,2,8
7749745,8560142,9,10
8009916,5197972,8,12
4844659,4213923,13,7
7044374,6340400,5,4
6332639,6377466,5,4
6532883,4965983,6,3
6532883,4965983,5,6
7094820,5539050,2,3
7094820,5539050,8,8
8175244,5084035,6,5
4108637,8048862,4,10
5189570,8725557,11,12
4357574,7259929,1,10
7273331,6220791,9,8
6954191,7689357,6,10
6964892,8072239,12,3
7839044,4521303,1,6
7601384,8536598,3,1
8239584,7430472,3,6
8239584,7430472,2,9
8239584,7430472,10,10
7216057,5240481,7,3
7330620,6912343,1,1
7330620,6912343,7,12
5420187,4152309,5,8
5285392,6849142,12,4
7199491,7088246,6,2
8358523,4392827,11,11
6540397,4666347,12,10
